CSO,Full Address,Address,City,State,Zip,Latitude,Longitude
San Luis Obispo,"406 Higuera Street, San Luis Obispo, CA, 93401",406 Higuera Street,San Luis Obispo,CA,93401,35.2749229,-120.6703623
Selma,"1745 2nd Street, Selma, CA, 93662",1745 2nd Street,Selma,CA,93662,36.5652007,-119.6143954
Taft,"550 Gardner-Field Road, Taft, CA, 93268",550 Gardner-Field Road,Taft,CA,93268,35.1374158,-119.4409889
Angels Camp,"1108 Murphy's Grade Road, Angels Camp, CA, 95222",1108 Murphy's Grade Road,Angels Camp,CA,95222,38.084904,-120.538937
Jackson,"12626 Jackson Gate Road, Jackson, CA, 95642",12626 Jackson Gate Road,Jackson,CA,95642,38.3696753,-120.7917848
Lodi,"1361 S. Lower Sacramento Road Suite 604, Lodi, CA, 95242",1361 S. Lower Sacramento Road Suite 604,Lodi,CA,95242,38.1179304,-121.3070799
Los Banos,"940 ""I"" Street, Los Banos, CA, 93635","940 ""I"" Street",Los Banos,CA,93635,37.0588574,-120.8425817
Madera,"2871 Airport Drive, Madera, CA, 93637",2871 Airport Drive,Madera,CA,93637,36.9910195,-120.1064631
Manteca,"226 E. Yosemite Avenue, Manteca, CA, 95336",226 E. Yosemite Avenue,Manteca,CA,95336,37.7971242,-121.2145432
Mariposa,"5166 Jones Street, Mariposa, CA, 95338",5166 Jones Street,Mariposa,CA,95338,37.493549,-119.971395
Merced,"3090 ""M"" Street Suite 9, Merced, CA, 95348","3090 ""M"" Street Suite 9",Merced,CA,95348,37.3190385,-120.4782063
Modesto,"2225 Plaza Parkway, Modesto, CA, 95350",2225 Plaza Parkway,Modesto,CA,95350,37.6728373,-121.0398897
Oakdale,"285 N. 3rd Street, Oakdale, CA, 95361",285 N. 3rd Street,Oakdale,CA,95361,37.7685105,-120.8491318
Sonora,"14550 Tuolumne Road, Sonora, CA, 95370",14550 Tuolumne Road,Sonora,CA,95370,37.9626148,-120.325758
Stockton,"220 E. Channel Street, Stockton, CA, 95201",220 E. Channel Street,Stockton,CA,95201,37.9547299,-121.2883518
Tracy,"55 E. 10th Street, Tracy, CA, 95376",55 E. 10th Street,Tracy,CA,95376,37.738752,-121.4245915
Turlock,"135 N. Center Street, Turlock, CA, 95380",135 N. Center Street,Turlock,CA,95380,37.4958809,-120.8455984
Burney,"20806 Black Ranch Road, Burney, CA, 96013",20806 Black Ranch Road,Burney,CA,96013,40.89394,-121.651015
Chico,"350 Salem Street, Chico, CA, 95928",350 Salem Street,Chico,CA,95928,39.7277425,-121.8409041
Grass Valley,"127 E Main Street, Grass Valley, CA, 95945",127 E Main Street,Grass Valley,CA,95945,39.2192922,-121.0607194
Marysville,"231 ""D"" Street, Marysville, CA, 95901","231 ""D"" Street",Marysville,CA,95901,39.1379998,-121.5883304
Oroville,"1567 Huntoon Street, Oroville, CA, 95965",1567 Huntoon Street,Oroville,CA,95965,39.5115882,-121.5551298
Placerville,"4636 Missouri Flat Road, Placerville, CA, 95667",4636 Missouri Flat Road,Placerville,CA,95667,38.6958779,-120.8249329
Quincy,"435 W. Main Street, Quincy, CA, 95971",435 W. Main Street,Quincy,CA,95971,39.9369936,-120.9468247
Red Bluff,"515 Luther Road, Red Bluff, CA, 96080",515 Luther Road,Red Bluff,CA,96080,40.1603547,-122.2302014
Redding,"3600 Meadow View Road, Redding, CA, 96002",3600 Meadow View Road,Redding,CA,96002,40.4988851,-122.3046002
Roseville,"151 N. Sunrise Avenue, Roseville, CA, 95661",151 N. Sunrise Avenue,Roseville,CA,95661,38.7465036,-121.2644249
Sacramento,"5555 Florin-Perkins Road, Sacramento, CA, 95826",5555 Florin-Perkins Road,Sacramento,CA,95826,38.5260258,-121.3899632
Vacaville,"770 Mason Street Suite 160, Vacaville, CA, 95688",770 Mason Street Suite 160,Vacaville,CA,95688,38.3537295,-121.9836095
W. Sacramento,"1410 Merkley Avenue, West Sacramento, CA, 95691",1410 Merkley Avenue,West Sacramento,CA,95691,38.5795042,-121.5270386
Woodland,"242 No. West Street, Woodland, CA, 95695",242 No. West Street,Woodland,CA,95695,38.679357,-121.7840167
Clearlake,"14730 Olympic Drive, Clearlake, CA, 95422",14730 Olympic Drive,Clearlake,CA,95422,38.9619833,-122.6362673
Eureka,"2555 Myrtle Avenue, Eureka, CA, 95501",2555 Myrtle Avenue,Eureka,CA,95501,40.7834045,-124.1284304
Fort Bragg,"100 N Main Street, Fort Bragg, CA, 95437",100 N Main Street,Fort Bragg,CA,95437,39.4418819,-123.8057542
Fortuna,"2755 Rohnerville Road, Fortuna, CA, 95540",2755 Rohnerville Road,Fortuna,CA,95540,40.5909169,-124.1377816
Garberville,"1328 Redwood Drive, Garberville, CA, 95542",1328 Redwood Drive,Garberville,CA,95542,40.1091204,-123.7958229
Guerneville,"14040 Church Street, Guerneville, CA, 95446",14040 Church Street,Guerneville,CA,95446,38.5024576,-122.9989951
Napa,"1850 Soscal Avenue, Napa, CA, 94559",1850 Soscal Avenue,Napa,CA,94559,38.3081974,-122.2844365
San Rafael,"750 Lindaro Street Suite 160, San Rafael, CA, 94901",750 Lindaro Street Suite 160,San Rafael,CA,94901,37.969326,-122.5256424
Santa Rosa,"111 Stony Circle, Santa Rosa, CA, 95401",111 Stony Circle,Santa Rosa,CA,95401,38.439191,-122.7462902
Sonoma,"500 West Napa Street Ste. 526A, Sonoma, CA, 95416",500 West Napa Street Ste. 526A,Sonoma,CA,95416,38.2941288,-122.4685911
Ukiah,"2641 N. State Street, Ukiah, CA, 95482",2641 N. State Street,Ukiah,CA,95482,39.1839031,-123.2086269
Auburn,"1050 High Street, Auburn, CA, 95603",1050 High Street,Auburn,CA,95603,38.9001815,-121.0698998
Colusa,"321 Fifth Street, Colusa, CA, 95932",321 Fifth Street,Colusa,CA,95932,39.2127469,-122.0083357
Davis,"202 Cousteau Place #150, Davis, CA, 95616",202 Cousteau Place #150,Davis,CA,95616,38.5509042,-121.7103734
Lakeport,"325 N. Forbes Street, Lakeport, CA, 95453",325 N. Forbes Street,Lakeport,CA,95453,39.044233,-122.9165153
Oakhurst,"50150 Road 426, Oakhurst, CA, 95361",50150 Road 426,Oakhurst,CA,95361,37.3204443,-119.6327795
Wasco,"1136 7th Street, Wasco, CA, 93280",1136 7th Street,Wasco,CA,93280,35.5946439,-119.3392036
Livermore,"998 Murrieta Boulevard, Livermore, CA, 94550",998 Murrieta Boulevard,Livermore,CA,94550,37.6761696,-121.7837855
Kerman,"275 S. Madera Suite 302, Kerman, CA, 93630",275 S. Madera Suite 302,Kerman,CA,93630,36.7316791,-120.0606629
Sanger,"624 ""N"" Street, Sanger, CA, 93657","624 ""N"" Street",Sanger,CA,93657,36.7072062,-119.5571701
Walnut Creek,"1535 Bonanza Street, Walnut Creek, CA, 94596",1535 Bonanza Street,Walnut Creek,CA,94596,37.8996022,-122.0618077
Alameda,"2510 Santa Clara St, Alameda, CA, 94501",2510 Santa Clara St,Alameda,CA,94501,37.7639946,-122.2397528
Corcoran,"1099 Otis Ave., Corcoran, CA, 93212",1099 Otis Ave.,Corcoran,CA,93212,36.0983319,-119.557145
Geyserville,"20880 Geyserville Rd., Geyserville, CA, 95441",20880 Geyserville Rd.,Geyserville,CA,95441,38.7051218,-122.9012134
Half Moon Bay,"80-G Cabrillo Hwy, Half Moon Bay, CA, 94019",80-G Cabrillo Hwy,Half Moon Bay,CA,94019,37.4638465,-122.4342644
Newman,"309 Merced St, Newman, CA, 95360",309 Merced St,Newman,CA,95360,37.3159808,-121.0140817
Orland,"810 4th St, Orland, CA, 95963",810 4th St,Orland,CA,95963,39.7458899,-122.1946035
Sanger,"624 N St, Sanger, CA, 93657",624 N St,Sanger,CA,93657,36.7072062,-119.5571701
Willits,"1601 Baechtel Rd, Willits, CA, 95490",1601 Baechtel Rd,Willits,CA,95490,39.3904032,-123.3430471
